标题链接,ID,名称,字段1,评分,点赞,投币,收藏,分享,播放/弹幕/追番
https://www.bilibili.com/bangumi/play/ss36167?from_spmid=666.14.0.0,BV1S44y1i766,转生成蜘蛛又怎样！,"奇幻 / 穿越 / 冒险 / 励志,·,2021,·,已完结, 全24话,·",7.9分,31.3万,15.8万,2.3万,1.6万,4.2亿播放  ·  201.1万弹幕  ·  626.8万追番
https://www.bilibili.com/bangumi/play/ss3450?from_spmid=666.14.0.0,BV1hs411z7AQ,在下坂本，有何贵干？,"搞笑 / 校园 / 日常,·,2016,·,已完结, 全13话,·",9.4分,19.1万,16.6万,2.9万,18.2万,2.4亿播放  ·  331万弹幕  ·  640.1万系列追番
https://www.bilibili.com/bangumi/play/ss6312?from_spmid=666.14.0.0,BV1fx411B7xj,徒然喜欢你,"恋爱 / 校园 / 漫画改 / 搞笑,·,2017,·,已完结, 全12话,·",9.7分,21.5万,16.5万,5.4万,8.3万,1.8亿播放  ·  309.1万弹幕  ·  621.1万追番
https://www.bilibili.com/bangumi/play/ss32781?from_spmid=666.14.0.0,BV1k5411Y7FF,刀剑神域 爱丽丝篇 异界战争 -终章-,"小说改 / 穿越 / 架空 / 科幻,·,2020,·,已完结, 全12话,·",4.8分,5.6万,5.3万,4459,9057,1.1亿播放  ·  168.5万弹幕  ·  877.6万系列追番
https://www.bilibili.com/bangumi/play/ss46084?from_spmid=666.14.0.0,BV1KQ4y1p75X,盾之勇者成名录 第三季,"小说改 / 战斗 / 奇幻 / 穿越,·,2023,·,已完结, 全12话,·",7.2分,3.1万,9558,4850,1949,1995.3万播放  ·  7.6万弹幕  ·  636万系列追番
https://www.bilibili.com/bangumi/play/ss32998?from_spmid=666.14.0.0,BV1yD4y1U7Pf,我的青春恋爱物语果然有问题。完,"校园 / 恋爱 / 小说改,·,2020,·,已完结, 全12话,·",8.9分,10.4万,9.8万,4026,7402,1.2亿播放  ·  163.8万弹幕  ·  775.3万系列追番
https://www.bilibili.com/bangumi/play/ss34230?from_spmid=666.14.0.0,BV1pK411N7xH,总之就是非常可爱,"日常 / 恋爱 / 漫画改,·,2020,·,已完结, 全13话,·",9.5分,69万,32万,7.6万,5.8万,2.1亿播放  ·  299.8万弹幕  ·  615.9万系列追番
https://www.bilibili.com/bangumi/play/ss41432?from_spmid=666.14.0.0,BV1RS4y1A7YY,约会大作战 第四季,"小说改 / 奇幻 / 战斗 / 萌系,·,2022,·,已完结, 全12话,·",9.8分,34万,25.3万,4.9万,1.9万,7945.8万播放  ·  54.8万弹幕  ·  649.9万系列追番
https://www.bilibili.com/bangumi/play/ss41413?from_spmid=666.14.0.0,BV1HL4y1j7bJ,盾之勇者成名录 第二季,"架空 / 小说改 / 穿越 / 奇幻,·,2022,·,已完结, 全13话,·",6.1分,25.5万,13.2万,2.8万,267,9288.2万播放  ·  58.9万弹幕  ·  636万系列追番
https://www.bilibili.com/bangumi/play/ss24596?from_spmid=666.14.0.0,BV1Ds411n7V4,OVERLORD Ⅲ,"架空 / 小说改 / 智斗 / 奇幻,·,2018,·,已完结, 全13话,·",9.4分,24.1万,24.1万,2万,5.3万,4.7亿播放  ·  415.7万弹幕  ·  1056.4万系列追番
https://www.bilibili.com/bangumi/play/ss24625?from_spmid=666.14.0.0,BV1os411H7wm,Angels of Death,"恋爱 / 游戏改 / 冒险,·,2018,·,已完结, 全16话,·",9.6分,17.9万,16.2万,4.5万,7.7万,1.4亿播放  ·  353.7万弹幕  ·  576.2万追番
https://www.bilibili.com/bangumi/play/ss21466?from_spmid=666.14.0.0,BV1YW411i7Dk,OVERLORD Ⅱ,"小说改 / 奇幻 / 战斗 / 魔法,·,2018,·,已完结, 全13话,·",9.6分,19.7万,14.2万,1.8万,4万,4.4亿播放  ·  430.5万弹幕  ·  1056.4万系列追番
https://www.bilibili.com/bangumi/play/ss45305?from_spmid=666.14.0.0,BV18F411973P,总之就是非常可爱 第二季,"漫画改 / 搞笑 / 治愈 / 奇幻,·,2023,·,已完结, 全16话,·",9.5分,3.8万,2万,4940,913,4651.8万播放  ·  37万弹幕  ·  615.9万系列追番
https://www.bilibili.com/bangumi/play/ss29366?from_spmid=666.14.0.0,BV17K411L7Re,虚构推理,"漫画改 / 神魔 / 恋爱 / 奇幻,·,2020,·,已完结, 全12话,·",9.2分,10.1万,11万,7039,2.1万,1.3亿播放  ·  148.9万弹幕  ·  607.2万系列追番
